strains,AMP,AUG,AXO,AZI,CHL,CIP,COT,FIS,FOX,GEN,KAN,NAL,STR,TET,TIO
SRR2017875,1,1,0.25,#N/A,8,0.01,0.12,64,2,0.5,#N/A,2,#N/A,32,1
SRR3664837,32,32,8,4,4,0.015,0.12,256,16,0.5,8,4,64,32,8
SRR3180040,1,1,0.25,4,4,0.015,0.125,32,2,0.25,#N/A,2,64,32,0.5
SRR1544161,1,2,0.25,#N/A,8,0.01,0.12,64,8,0.5,#N/A,4,#N/A,4,1
SRR2407661,1,1,0.25,1,2,0.015,0.12,64,2,0.5,#N/A,2,64,4,1
SRR3182556,32,8,0.25,#N/A,8,0.01,0.12,256,2,16,#N/A,4,64,32,1
SRR3115222,1,1,0.25,#N/A,4,0.01,0.12,64,2,0.5,#N/A,4,#N/A,4,1
SRR2567126,1,1,0.25,4,8,0.03,0.125,32,8,8,#N/A,4,64,32,1
SRR2407539,2,2,0.25,8,8,0.03,0.12,64,2,0.5,#N/A,4,4,4,1
SRR2407555,1,1,0.25,4,8,0.015,0.12,16,8,0.25,#N/A,4,8,4,1
SRR3185053,32,32,0.25,#N/A,8,0.01,0.12,64,2,0.5,#N/A,4,#N/A,4,1
SRR3096101,1,1,0.25,#N/A,4,0.01,0.12,32,2,0.25,#N/A,2,#N/A,4,0.5
SRR3098641,1,1,0.25,#N/A,4,0.01,0.12,64,2,0.25,#N/A,2,#N/A,4,1
SRR2979520,32,32,16,#N/A,8,0.01,0.12,64,32,1,#N/A,4,#N/A,32,8
SRR2062222,2,1,0.25,#N/A,8,0.03,0.12,64,2,0.5,#N/A,4,#N/A,4,1
SRR3932965,1,1,0.25,4,4,0.015,0.12,32,2,0.5,#N/A,2,64,32,0.5
SRR3000041,1,1,0.25,2,4,0.015,0.125,64,4,0.5,#N/A,4,32,4,1
SRR3664823,32,32,16,4,4,0.015,0.12,16,32,0.5,8,2,#N/A,4,8
SRR2973709,2,1,0.25,4,8,0.015,0.125,32,2,1,#N/A,4,64,4,1
SRR3933059,1,1,0.25,2,4,0.015,0.12,32,2,0.25,#N/A,2,64,32,0.5
