,features
586,0.944410145
587,1.9741081
588,1.190477014
589,1.222928762
590,2.496087074
591,2.724994183
592,1.698061943
593,0.524164259
594,1.192902565
595,1.728561759
596,1.735838532
597,1.656585693
598,2.253209829
599,2.122039557
600,0.957200944
601,1.42381084
602,0.50982213
603,0.74242568
604,1.598852158
605,1.288228273
606,1.322854757
607,0.954210222
608,2.373864412
609,0.849483013
610,1.281470418
611,1.112677455
612,1.946894288
613,1.402435422
614,2.016885996
615,2.891978502
616,0.389913976
617,1.849142909
618,0.688069165
619,1.048017502
620,1.502122521
621,1.40640378
622,2.415453672
623,3.121236563
624,1.394876361
625,0.629476488
626,1.081003547
627,1.854557633
628,1.74761951
629,1.544531465
630,2.217901945
631,2.174798965
632,0.750100374
633,1.500527263
634,0.629044831
635,1.197053552
636,1.577227354
637,1.246841788
638,1.264395714
639,1.321794152
640,2.190141916
641,1.368199825
642,1.354308009
643,1.15259254
644,1.87299037
645,1.476728201
646,2.085704088
647,2.725092411
648,0.465577722
649,1.904703617
650,0.373519331
651,1.640566707
652,1.633936763
653,1.365170956
654,2.382642508
655,3.193888426
656,1.519550681
657,0.60433358
658,1.195376396
659,1.886751056
660,1.756346703
661,1.701653004
662,2.355448008
663,2.144699574
664,1.263715506
665,1.499993801
666,0.605319619
667,0.774413824
668,1.71710813
669,1.412319779
670,1.281883359
671,1.602939129
672,2.037786961
673,0.993749499
674,1.418939948
675,1.274701238
676,1.824970484
677,1.471962452
678,2.154511929
679,2.788756609
680,0.401200086
681,2.09047842
682,0.777502358
683,1.669682384
684,1.514763117
685,1.439294219
686,2.628897905
687,3.163710117
688,1.629220605
689,0.698031008
690,1.249982715
691,1.763528228
692,1.70103395
693,1.923800707
694,2.272382736
695,2.146776676
696,0.88969624
697,1.377702475
698,0.687018991
699,0.765416563
700,1.634637833
701,1.462529898
702,1.361474872
703,1.029266953
704,2.361067295
705,0.795312583
706,1.154205441
707,1.11775589
708,2.094229937
709,1.380827069
710,2.028044462
711,2.746531963
712,0.317982137
713,2.187713623
714,0.464737594
715,1.531255603
716,1.595399618
717,1.203116059
718,2.456612349
719,3.061258078
720,1.350260258
721,0.551817954
722,1.492676258
723,1.904068112
724,1.656406164
725,1.503151536
726,2.333435774
727,2.472544193
728,1.000999928
729,1.390894651
730,0.551976502
731,0.973406672
732,1.615613818
733,1.209500074
734,1.248910427
735,1.359486699
736,2.307769775
737,0.969451249
738,1.697538137
739,1.134032965
740,1.882118106
741,1.373668194
742,1.970564961
743,2.71989131
744,0.306424618
745,1.804302573
746,0.79779315
747,1.336166739
748,1.680991173
749,1.054791331
750,2.391983032
751,2.993078947
752,1.660107374
753,0.608377457
754,1.449585199
755,1.709169626
756,1.824556708
757,1.714400172
758,2.195393801
759,2.629558086
760,0.82918483
761,1.373416424
762,0.603436828
763,0.990998566
764,1.633045316
765,1.541916132
766,1.337043643
767,1.255699873
768,2.283370495
769,1.155748606
770,1.41486907
771,1.000059247
772,1.836900949
773,1.123047471
774,2.200699329
775,2.797539473
776,0.666389108
777,1.92534852
778,1.221984863
779,1.489354849
780,1.459529996
781,1.332770109
782,2.648746014
783,3.112991333
784,1.580459356
785,0.355006576
786,1.388012052
787,1.796772718
788,1.591371775
789,1.818175554
790,2.49066329
791,2.233006954
792,1.031152368
793,1.632213712
794,0.569723368
795,1.098577857
796,1.926493406
797,1.473896146
798,1.257829309
799,1.468264103
800,1.993869185
801,1.122778654
802,1.463789225
803,1.178684354
804,1.90599525
805,1.229148507
806,1.98802948
807,2.918950081
808,0.582334399
809,1.884726524
810,0.648222864
811,1.497381806
812,1.461239696
813,1.284294844
814,2.706372976
815,2.992856979
816,1.647218466
817,0.547646344
818,1.322973609
819,1.809831381
820,1.71118331
821,1.751823545
822,2.421169519
823,2.442355633
824,0.95558852
825,1.584495664
826,0.663788617
827,0.731906891
828,1.727385163
829,1.323890328
830,1.640682697
831,1.351135135
832,2.266078949
833,1.409591675
834,1.408661127
835,1.179442525
836,1.962679148
837,1.305505872
838,2.209401608
839,2.776163578
840,0.382046193
841,2.024454594
842,0.937741637
843,1.346735001
844,1.36183846
845,1.390629768
846,2.537406683
847,2.993542671
848,1.286545515
849,0.504208684
850,1.03044951
851,1.844473481
852,1.659618616
853,1.604371905
854,2.375890732
855,2.119039297
856,0.968640983
857,1.318799496
858,0.687951446
859,0.899398983
860,1.580566525
861,1.387469769
862,1.203424335
863,1.4172405
864,2.368458509
865,1.069581747
866,1.470453978
867,1.16552341
868,1.774923205
869,1.262027025
870,2.047658205
871,2.654944897
872,0.465476513
873,1.891455173
874,0.626852572
875,1.645694017
876,1.606093526
877,1.282274723
878,2.679709196
879,2.956439972
880,1.544476986
881,0.633531451
882,1.22473979
883,1.614347339
884,1.845741272
885,1.607102036
886,2.324018478
887,2.456621885
888,1.149051785
889,1.279927969
890,0.457562774
891,0.945667267
892,1.624891281
893,1.162019134
894,1.265161872
895,1.296404362
896,2.330764771
897,0.976607382
898,1.291585088
899,1.246946931
900,1.847684979
901,1.50837779
902,2.177616358
903,2.641966343
904,0.51692766
905,1.885826945
906,0.768208802
907,1.626572371
908,1.447687387
909,1.447791219
910,2.345607996
911,3.024500847
912,1.696310282
913,0.619273841
914,1.347563863
915,1.913658142
916,1.700626373
917,1.563643336
918,2.133151531
919,2.250109196
920,1.130155683
921,1.385038853
922,0.603664279
923,1.252786398
924,1.674629211
925,1.491242409
926,1.345019698
927,1.222761273
928,2.217049837
929,0.970074654
930,1.408057094
931,1.109200954
932,1.923575163
933,1.36621356
934,1.762141824
935,2.824609041
936,0.591358304
937,1.95008707
938,0.514554083
939,1.546159387
940,1.58023417
941,1.369563937
942,2.567956209
943,2.779749632
944,1.575045943
945,0.543191433
946,1.241836429
947,1.589948654
948,1.734965682
949,1.591721416
950,2.359660387
951,1.827758551
952,1.162186265
953,1.328476667
954,0.758480966
955,1.11397922
956,1.699974418
957,1.288546443
958,1.330260158
959,1.109752893
960,2.499243736
961,0.924386859
962,1.746487617
963,1.152120948
964,1.773188233
965,1.039117336
966,2.100738287
967,2.992869377
968,0.516923487
969,2.05924654
970,0.476807624
971,1.40619278
972,1.717822909
973,1.109384418
974,2.891665936
975,2.783370972
976,1.677604556
977,0.584601045
978,1.625027895
979,1.935299754
980,1.64291358
981,1.62191236
982,2.273088694
983,2.393274307
984,0.999667943
985,1.384442568
986,0.638354421
987,0.955512345
988,1.929284811
989,1.565426588
990,1.273555517
991,1.663144469
992,2.310052156
993,0.871311903
994,1.196609259
995,1.112174392
996,2.013574839
997,1.192584395
998,2.091685772
999,2.902560949
1000,0.606541872
1001,1.661650181
1002,0.954104125
1003,1.461625695
1004,1.461321473
1005,0.912813604
1006,2.457738161
1007,3.069955587
1008,1.574585795
1009,0.714308679
1010,1.348489046
1011,1.807783723
1012,1.985554457
1013,1.702099442
1014,2.370276213
1015,2.179347515
1016,1.021158695
1017,1.26291132
1018,0.594960034
1019,0.888233662
1020,1.616675973
1021,1.424674511
1022,1.049813151
1023,1.626946568
1024,2.382748842
1025,0.889360607
1026,1.28060174
1027,1.039495468
1028,1.890031815
1029,1.415946484
1030,2.030013561
1031,3.090595245
1032,0.383053452
1033,1.715646982
1034,0.650785923
1035,1.565479398
1036,1.473232031
1037,1.241546035
1038,2.897145033
1039,2.991083384
1040,1.492846608
1041,0.602271199
1042,1.036887884
1043,2.003137827
1044,1.672684193
1045,1.534399509
1046,2.170269966
1047,2.156185865
1048,1.011710882
1049,1.378356218
1050,0.621131659
1051,0.996525586
1052,1.646975517
1053,1.326121092
1054,1.189784884
1055,1.354145765
1056,2.528049469
1057,1.004121423
1058,1.353520751
1059,1.01416111
1060,2.025582314
1061,1.16708231
1062,2.158177853
1063,2.987171412
1064,0.38323456
1065,1.777444363
1066,0.91324842
1067,1.664897203
1068,1.51125741
1069,1.131321907
1070,2.524487257
1071,2.843409777
1072,1.422707558
1073,0.60243541
1074,1.159886122
1075,1.915878534
1076,1.574471593
1077,1.544501901
1078,2.346930981
1079,2.17179513
1080,0.845228016
1081,1.321080446
1082,0.672772706
1083,1.299557447
1084,1.631907463
1085,1.526480913
1086,1.638961554
1087,1.313601017
1088,2.29830718
1089,1.024429202
1090,1.368048549
1091,1.28554678
1092,1.9712466
1093,0.973031759
1094,1.892181993
1095,2.869087934
1096,0.581389129
1097,1.697010279
1098,0.658002019
1099,1.106359959
1100,1.3148458
1101,1.089642525
1102,2.585510492
1103,3.00830698
1104,1.534942269
1105,0.512560487
1106,1.212886333
1107,1.999209762
1108,1.647907257
1109,1.560682774
1110,2.289055824
1111,2.30466938
1112,0.993650377
1113,1.421908259
1114,0.688773692
1115,1.156037331
1116,1.663694382
1117,1.505163074
1118,1.319484949
1119,1.562803507
1120,2.361092806
1121,1.184380531
1122,1.435441494
1123,1.04961586
1124,1.802316904
1125,1.806491852
1126,2.157570124
1127,2.870739937
1128,0.400783777
1129,2.031955481
1130,0.670588791
1131,1.66112113
1132,1.460366845
1133,1.426990986
1134,2.633277893
1135,2.844955444
1136,1.514596701
1137,0.609077513
1138,1.05691278
1139,1.778471231
1140,1.54521966
1141,1.50509131
1142,2.255084038
1143,2.04482317
1144,0.824563086
1145,1.723851562
1146,0.69077909
1147,0.861622274
1148,1.683144689
1149,1.55499804
1150,1.300904751
1151,1.528389812
1152,2.178982496
1153,0.843193769
1154,1.599447727
1155,1.052360415
1156,1.777442098
1157,1.223147273
1158,2.122221947
1159,3.01222086
1160,0.732383013
1161,1.505601645
1162,0.262136042
1163,1.579243302
1164,1.177632093
1165,1.110132098
1166,2.463580847
1167,2.88173914
1168,1.647388339
1169,0.571795344
1170,1.280860305
1171,1.788584113
1172,1.723926306
1173,1.58917892
1174,1.999775767
1175,2.01807642
1176,1.075270057
1177,1.35736692
1178,0.617650926
1179,0.959222674
1180,1.637849331
1181,1.372174501
1182,1.363338351
1183,1.541554689
1184,2.341146469
1185,0.860550463
1186,1.405031919
1187,1.086088777
1188,1.779969096
1189,0.961322427
1190,2.142905951
1191,2.853905678
1192,0.342766553
1193,1.733087778
1194,0.531122446
1195,1.130546808
1196,1.472149611
1197,1.381196976
1198,2.500944138
1199,2.804393053
1200,1.688493848
1201,0.692652404
1202,1.34807694
1203,1.814129353
1204,1.485620022
1205,1.507575512
1206,2.337736607
1207,2.304070711
1208,0.758141935
1209,1.33325386
1210,0.562767327
1211,0.969311893
1212,1.628278136
1213,1.478029966
1214,1.281982183
1215,1.452941537
1216,2.222780228
1217,1.140988231
1218,1.428711414
1219,1.149160624
1220,2.11360383
1221,1.285285354
1222,1.928803444
1223,2.731601
1224,0.61977905
1225,1.657448053
1226,1.062970161
1227,1.661451221
1228,1.376846075
1229,1.363389492
1230,2.735081196
1231,2.911854029
1232,1.662990808
1233,0.672375262
1234,1.3431288
1235,1.684471369
1236,1.63800621
1237,1.828712583
1238,2.19397974
1239,2.060908794
1240,1.166492224
1241,1.383920908
1242,0.743239045
1243,1.069022536
1244,1.631430745
1245,1.64777565
1246,1.536037445
1247,1.515538096
1248,2.518636465
1249,0.80069977
1250,1.330059767
1251,1.130800605
1252,2.059663296
1253,1.249642849
1254,1.858975887
1255,2.753782272
1256,0.540536225
1257,1.556826591
1258,0.322759092
1259,1.64640224
1260,1.404963136
1261,0.898428977
1262,2.821432829
1263,2.858215332
1264,1.578271627
1265,0.495605737
1266,1.237995505
1267,1.808103919
1268,1.616031647
1269,1.529073596
1270,2.08975172
1271,2.290888548
1272,0.831908405
1273,1.592153311
1274,0.651558816
1275,1.00058794
1276,1.501794457
1277,1.391863823
1278,1.277850866
1279,1.649835467
1280,2.406882763
1281,0.852591395
1282,1.490243912
1283,0.988136888
1284,2.036773443
1285,1.197703004
1286,2.007072687
1287,3.208333254
1288,0.389205217
1289,1.691582918
1290,0.511323154
1291,1.211133003
1292,1.61873138
1293,1.366451383
1294,2.257091761
1295,2.603128672
1296,2.027909279
1297,0.665263057
1298,1.405156851
1299,1.770035267
1300,1.619001627
1301,1.576665401
1302,2.107654572
1303,2.175953627
1304,1.017401695
1305,1.386342406
1306,0.702029049
1307,0.907659292
1308,1.568837762
1309,1.410395145
1310,1.444826603
1311,1.269710898
1312,2.304566383
1313,0.766544521
1314,1.493806124
1315,1.073862195
1316,1.931505799
1317,1.162841201
1318,2.204459906
1319,2.84449029
1320,0.403329223
1321,1.69784534
1322,0.479227811
1323,1.368765235
1324,1.349220037
1325,1.326596856
1326,2.464221954
1327,2.784141779
1328,1.560361385
1329,0.431041688
1330,1.123766422
1331,1.826118112
1332,2.116403341
1333,1.474867225
1334,2.173104763
1335,2.145018339
1336,0.865839183
1337,1.423969269
1338,0.815367699
1339,1.051555753
1340,1.537631392
1341,1.559459686
1342,1.204194665
1343,1.602687478
1344,2.439757347
1345,0.521080256
1346,1.50019598
1347,0.969173074
1348,1.81507659
1349,1.116694212
1350,2.306748629
1351,2.899958849
1352,0.569006562
1353,1.888620615
1354,0.708378792
1355,1.430572152
1356,1.513587236
1357,1.232016563
1358,2.28689456
1359,3.030899525
1360,1.730358005
1361,0.588647366
1362,1.227889657
1363,1.7769804
1364,1.581090689
1365,1.495775461
1366,2.257072687
1367,2.37549758
1368,1.125227571
1369,1.404009819
1370,0.622414291
1371,1.056818962
1372,1.64160943
1373,1.461917043
1374,1.41532433
1375,1.170370221
1376,2.308548927
1377,0.898236811
1378,1.381797791
1379,0.920164049
1380,1.927619815
1381,1.088951349
1382,2.120490074
1383,3.002886534
1384,0.368485957
1385,1.771324396
1386,0.382351398
1387,1.300816417
1388,1.309024453
1389,1.183768988
1390,2.494846344
1391,2.857429504
1392,1.607879281
1393,0.583485603
1394,1.276942492
1395,1.718443632
1396,1.62342608
1397,1.545157194
1398,2.116369009
1399,2.377735138
1400,0.945107281
1401,1.222423553
1402,0.654449344
1403,1.120371461
1404,1.625005484
1405,1.22269249
1406,1.352932453
1407,1.552626252
1408,2.234329462
1409,0.958163023
1410,1.389761686
1411,1.231931925
1412,1.960828543
1413,1.178743362
1414,2.131143332
1415,2.882533073
1416,0.41734755
1417,1.731414199
1418,0.51471734
1419,1.272353768
1420,1.629900575
1421,1.288198233
1422,2.558373213
1423,2.970286846
1424,1.728911042
1425,0.602233291
1426,1.231803298
1427,1.808555961
1428,1.7295295
1429,1.714588284
1430,2.202676773
1431,2.091359138
1432,1.154477
1433,1.458398342
1434,0.717580914
1435,0.834619582
1436,1.527112484
1437,1.370088577
1438,1.122691751
1439,1.64405477
1440,2.500373363
1441,0.81534946
1442,1.303483963
1443,0.948989987
1444,1.774182558
1445,1.158709407
1446,1.920241833
1447,3.005565166
1448,0.428735614
1449,1.612232685
1450,0.769170046
1451,1.242736459
1452,1.513234377
1453,1.29011631
1454,2.657493591
1455,2.853847742
1456,1.59220016
1457,0.603232384
1458,1.23765707
1459,1.99287951
1460,2.07461071
1461,1.604233623
1462,2.17555666
1463,2.016494751
1464,0.89911592
1465,1.497083664
1466,0.542742193
1467,0.993078589
1468,1.575135946
1469,1.293171763
1470,1.438501954
1471,1.18868351
1472,2.200773001
1473,1.237609386
1474,1.649113417
1475,1.236988902
1476,1.960738301
1477,1.22024107
1478,2.019173861
1479,3.032245874
1480,0.411429435
1481,1.783543706
1482,0.488065273
1483,1.303498149
1484,1.408545375
1485,1.232975006
1486,2.76890254
1487,2.715219498
1488,1.518270493
1489,0.396692693
1490,1.414853811
1491,1.735285878
1492,1.88595736
1493,1.530208945
1494,2.095693827
1495,2.169234276
1496,1.120345354
1497,1.260569334
1498,0.678381324
1499,0.907658696
1500,1.682930112
1501,1.561782241
1502,1.338905573
1503,1.091772318
1504,2.361269951
1505,1.090141892
1506,1.666862488
1507,1.123559833
1508,1.839081407
1509,1.129864097
1510,2.430083752
1511,2.785988569
1512,0.494924217
1513,1.833489895
1514,0.444174469
1515,1.411945224
1516,1.100231647
1517,1.112265944
1518,2.603766918
1519,2.936161995
1520,1.575966477
1521,0.608185828
1522,1.169022679
1523,1.791579723
1524,1.540489793
1525,1.922704816
1526,2.231701612
1527,2.078047752
1528,0.875644982
1529,1.453350186
1530,0.628560841
1531,0.837270319
1532,1.419907808
1533,1.422251225
1534,1.2779392
1535,1.344614387
1536,2.448684931
1537,0.787375867
1538,1.37007618
1539,1.002485633
1540,2.023845911
1541,1.453271389
1542,2.402231932
1543,2.750002623
1544,0.62237376
1545,1.678851843
1546,0.854283452
1547,1.585268021
1548,1.376214743
1549,1.045089722
1550,2.573772907
1551,2.847882509
1552,1.612396479
1553,0.496913046
1554,1.410556674
1555,1.699738145
1556,1.543481469
1557,1.709216595
1558,2.309074402
1559,2.156177044
1560,0.840809762
1561,1.415079832
1562,0.727891982
1563,1.083344817
1564,1.671608448
1565,1.536298275
1566,1.21298027
1567,1.298192739
1568,2.24716711
1569,1.200284719
1570,1.383297563
1571,0.925602674
1572,1.951811671
1573,1.449273467
1574,2.1925807
1575,2.746066093
1576,0.506283224
1577,1.871242642
1578,0.889807582
1579,1.708688498
1580,1.342668176
1581,1.301256061
1582,2.618297338
1583,2.841738939
1584,1.852402449
1585,0.646790862
1586,1.480686903
1587,1.885996819
1588,1.689252257
1589,1.617135406
1590,2.095891476
1591,2.02332139
1592,0.950458586
1593,1.327941656
1594,0.666282654
1595,1.002944589
1596,1.954749465
1597,1.603337646
1598,1.233620048
1599,1.0470438
1600,2.263483524
1601,0.955060065
1602,1.429356933
1603,1.124539495
1604,1.914756894
1605,1.354946733
1606,1.919017792
1607,2.885189533
1608,0.448726803
1609,1.981659889
1610,0.742124081
1611,1.584292054
1612,1.37620616
1613,1.332745314
1614,2.461586952
1615,3.238046646
1616,1.549982309
1617,0.487435311
1618,1.388894081
1619,1.745370507
1620,1.479150534
1621,1.477009892
1622,2.186268091
1623,2.298806667
1624,1.096063852
1625,1.645888805
1626,0.799976408
1627,1.089133739
1628,1.607115269
1629,1.287490964
1630,1.38794601
1631,1.355206013
1632,2.312796593
1633,1.181238055
1634,0.955388844
1635,1.020453215
1636,1.888944507
1637,0.944827199
1638,2.089121342
1639,2.847009659
1640,0.352409929
1641,1.901695728
1642,0.554007053
1643,1.232800245
1644,1.601853132
1645,1.196166635
1646,2.543361425
1647,2.776314735
1648,1.57640779
1649,0.475377649
1650,1.23757565
1651,1.796982646
1652,1.779977679
1653,1.729484677
1654,2.286351204
1655,2.209095955
1656,1.010913849
1657,1.249760628
1658,0.50093776
1659,0.978477359
1660,1.751827478
1661,1.424244881
1662,1.349893451
1663,1.181831121
1664,2.177833557
